# wikidata_stupas_q180987.csv — Wikidata Q180987 stupa corpus
# DO NOT HAND-EDIT. Regenerate with: python3 data/fetch_wikidata_q180987.py --fetch
# Generated: 2026-04-02T17:04:37Z
# Source: https://query.wikidata.org/sparql
# Query: SELECT DISTINCT ?item (P31/P279* wd:Q180987) with P625 coords
# Filters: none (global, no longitude/date/label filter)
# N = 229
qid,name,lat,lon,country
Q22070243,White Dagoba,39.92424,116.35706,People's Republic of China
Q4264123,Jabung,-7.735,113.47167,Indonesia
Q793368,Ayuwang Pagoda,39.067959,112.952703,People's Republic of China
Q11099192,Bubrah Temple,-7.746522,110.492957,Indonesia
Q12478283,Q12478283,-7.516944,112.682778,Indonesia
Q3517549,Cangkuang,-7.10333333,107.91888889,Indonesia
Q138632041,Phra Mahathat Chedi Phakdee Prakat,11.3615019,99.5800583,Thailand
Q3056346,Pawon,-7.60613,110.21958,Indonesia
Q4264442,Banyunibo Temple,-7.778031,110.49418,Indonesia
Q12478280,Q12478280,-8.06674,112.206,Indonesia
Q11113699,Ngempon Temple,-7.19432,110.43906,Indonesia
Q3517621,Singhasari temple,-7.88775,112.66391,Indonesia
Q12478267,Q12478267,-8.134167,111.975556,Indonesia
Q48929547,Shengxiang Pagoda,30.54755556,114.29547222,People's Republic of China
Q42798,Borobudur,-7.60793,110.20384,Indonesia
Q19942628,Dermo Temple,-7.4075399,112.6200128,Indonesia
Q9032333,Ijo Temple,-7.78388889,110.51222222,Indonesia
Q3029610,Sambisari Temple,-7.76247,110.44706,Indonesia
Q5031670,Candi Asu,-7.52741,110.3517,Indonesia
Q125972292,Q125972292,16.319166666,103.520277777,
Q3101506,Sukuh,-7.6274,111.13118,Indonesia
Q12478278,Candi Rimbi,-7.67373,112.34303,Indonesia
Q4264437,Sari Temple,-7.761525,110.47416667,Indonesia
Q12127453,Merak Temple,-7.6697,110.55344,Indonesia
Q11156479,Abang Temple,-7.810154,110.470104,Indonesia
Q12478247,Q12478247,-8.194860528,112.243826542,Indonesia
Q12478269,Pari Temple,-7.51583333,112.68333333,Indonesia
Q121223807,Western Disciple Stupa,48.222778,20.548056,Hungary
Q2735629,Cetho,-7.59554,111.15731,Indonesia
Q12091291,Candi Jago,-8.00579,112.76405,Indonesia
Q3111557,Ratu Boko Temple,-7.77,110.488888888,Indonesia
Q2750324,Plaosan temple,-7.74054,110.50458,Indonesia
Q130729036,Peace stupa,47.07279,15.426135,Austria
Q134084591,Saovabha Praditsathan,13.7490752,100.4967009,Thailand
Q2746626,Mendut Temple,-7.6048,110.23008,Indonesia
