SITE-AS-ANCHOR RANKING AUDIT
Generated : Mon Apr 20 20:13:27 UTC 2026
Script    : tools/generate_audit_site_as_anchor.py
Corpus    : 1012 sites (1011 inscribed Cultural/Mixed + Gerizim synthetic)
           Each site used as anchor; tests against remaining N = 1011 sites
Threshold : A+ ≤ 0.00321 beru (10.7 km)
Null rate : 6% geometric (4% of 360° in A+ bands)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
DISTRIBUTION SUMMARY

  Sites ranked:  1012
  Mean A+:       65.13 ± 9.27
  Max A+:        92
  Min A+:        48
  Expected (4%): 40.4

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FOCAL ANCHOR RESULTS

  Site                                             Lon°E   A++    A+      A   Rank   % above     p-value  sig
  ----------------------------------------------------------------------------------------------------
  Mount Gerizim (Tentative List)                  35.269     7    88    228     18      1.7%  2.7224e-03  **
  Old City of Jerusalem                          35.2317     7    88    217     18      1.7%  2.7224e-03  **

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FULL RANKING  (all 1012 sites, sorted by A+ count)

   Rank   A++    A+      A      Lon°E  Site
    170     5    73    208    64.4286  Historic Centre of Bukhara
    170     5    73    194    75.8172  Group of Monuments at Pattadakal
    170     5    73    190    75.8250  The Jantar Mantar, Jaipur
    170     5    73    208    85.4285  Kathmandu Valley
    170     5    73    192   105.8222  Vat Phou and Associated Ancient Settlements within the Champasak 
    170     4    73    193   -77.1785  Chavin (Archaeological Site)
    170     4    73    197   -55.5314  Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nue
    170     4    73    198    -4.5406  Antequera Dolmens Site
    170     4    73    198    -4.5404  Old Towns of Djenné
    170     4    73    202    -1.6258  Asante Traditional Buildings
    170     4    73    196    37.4697  Fasil Ghebbi, Gondar Region
    170     4    73    203    42.7683  Gelati Monastery
    170     4    73    202    55.3756  Cultural Landscape of Maymand
    170     4    73    204    57.7667  <i>Aflaj</i> Irrigation Systems of Oman
    170     4    73    199    67.4587  Proto-urban Site of Sarazm
    170     4    73    193    75.8219  Jaipur City, Rajasthan
    170     3    73    204    10.3892  Viking-Age Ring Fortresses
    170     3    73    235    14.3751  Twyfelfontein or /Ui-//aes
    170     3    73    237    17.3819  Gardens and Castle at Kroměříž
    170     3    73    193    18.3667  Robben Island
    170     3    73    203    28.3767  Khami Ruins National Monument
    170     3    73    237    74.3821  Fort and Shalamar Gardens in Lahore
    170     3    73    237    80.3833  Sacred City of Anuradhapura
    170     3    73    203    88.3772  Khangchendzonga National Park
    170     2    73    204     4.3891  Cistercian Abbey of Fontenay

    208     9    72    196    24.3446  Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and U
    208     8    72    196    33.3439  Choirokoitia
    208     7    72    195    16.4918  Churches of Peace in Jawor and Świdnica
    208     7    72    223    59.1417  Kunya-Urgench
    208     6    72    223    20.1408  Historic Centres of Berat and Gjirokastra
    208     6    72    200    72.7828  Sulaiman-Too Sacred Mountain
    208     6    72    223   113.1412  Historic Monuments of Dengfeng in “The Centre of Heaven and Earth
    208     6    72    223   116.1411  Summer Palace, an Imperial Garden in Beijing
    208     6    72    200   135.7842  Historic Monuments of Ancient Nara
    208     5    72    202   -43.5462  Sítio Roberto Burle Marx
    208     5    72    188    72.8301  Victorian Gothic and Art Deco Ensembles of Mumbai
    208     5    72    198   112.4667  Longmen Grottoes
    208     4    72    208   -88.5687  Pre-Hispanic City of Chichen-Itza
    208     4    72    188    -8.5767  St Kilda
    208     4    72    195     9.3931  Bergpark Wilhelmshöhe
    208     4    72    200    22.3667  Archaeological Site of Mystras
    208     4    72    200    34.3664  Saint Hilarion Monastery/ Tell Umm Amer
    208     4    72    204    38.5991  Melka Kunture and Balchit: Archaeological and Palaeontological Si
    208     4    72    200    58.3667  Bam and its Cultural Landscape
    208     3    72    195   -23.6052  Cidade Velha, Historic Centre of Ribeira Grande
    208     2    72    204     9.7656  Caves and Ice Age Art in the Swabian Jura
    208     2    72    237   116.3914  Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Or
    208     1    72    237    -3.6093  Aranjuez Cultural Landscape
    208     1    72    201     4.3557  Major Town Houses of the Architect Victor Horta (Brussels)
    208     1    72    201     4.3562  The Maison Carrée of Nîmes
    208     1    72    203    10.3070  Wartburg Castle
    208     1    72    187    15.4333  Cilento and Vallo di Diano National Park with the Archeological S

    235     8    71    197    12.3389  Venice and its Lagoon
    235     8    71    193    57.3283  Le Morne Cultural Landscape
    235     7    71    198   -95.6587  Historic Monuments Zone of Tlacotalpan
    235     7    71    197    48.3393  Prehistoric Sites of the Khorramabad Valley
    235     6    71    197    -5.6603  Old City of Salamanca
    235     6    71    201    16.3699  Historic Centre of Vienna
    235     5    71    234   -75.6307  Archaeological Landscape of the First Coffee Plantations in the S
    235     5    71    191    10.9001  Pilgrimage Church of Wies
    235     5    71    191    34.9000  Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Micro
    235     5    71    191    67.9000  Historical Monuments at Makli, Thatta
    235     4    71    201   -58.4653  ESMA Museum and Site of Memory – Former Clandestine Centre of Det
    235     4    71    206     4.4325  Van Nellefabriek
    235     4    71    191    10.9020  Water Management System of Augsburg
    235     4    71    200    13.3675  Archaeological Area and the Patriarchal Basilica of Aquileia
    235     4    71    191   136.9019  Historic Villages of Shirakawa-go and Gokayama
    235     3    71    201     4.5353  Pont du Gard (Roman Aqueduct)
    235     3    71    203    50.6133  Pearling, Testimony of an Island Economy
    235     2    71    202    -3.3889  The Forth Bridge
    235     2    71    202     4.3524  La Grand-Place, Brussels
    235     2    71    203    38.6121  Tiya
    235     2    71    239   116.3972  Imperial Palaces of the Ming and Qing Dynasties in Beijing and Sh
    235     1    71    191   -44.6854  Paraty and Ilha Grande – Culture and Biodiversity
    235     1    71    187    15.4342  Wachau Cultural Landscape
    235     0    71    198   126.9172  Gochang, Hwasun and Ganghwa Dolmen Sites

    259     8    70    197   -98.6626  Aqueduct of Padre Tembleque Hydraulic System
    259     7    70    223    68.1389  Archaeological Ruins at Moenjodaro
    259     6    70    193   -68.6733  Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture
    259     6    70    202    61.3278  Shahr-i Sokhta
    259     6    70    222   128.1375  Mount Kumgang – Diamond Mountain from the Sea
    259     5    70    195    -1.5061  Mont-Saint-Michel and its Bay
    259     5    70    202     7.3227  Urnes Stave Church
    259     5    70    202    10.3236  Archaeological Site of Carthage
    259     4    70    208   -96.4211  Prehistoric Caves of Yagul and Mitla in the Central Valley of Oax
    259     4    70    199     3.2989  Provins, Town of Medieval Fairs
    259     4    70    195     9.9389  Würzburg Residence with the Court Gardens and Residence Square
    259     4    70    209    11.5785  Margravial Opera House Bayreuth
    259     4    70    197    35.6456  Byblos
    259     4    70    202    52.5325  Sassanid Archaeological Landscape of Fars Region
    259     4    70    203    73.5333  Champaner-Pavagadh Archaeological Park
    259     4    70    194   117.9383  Mountain Resort and its Outlying Temples, Chengde
    259     3    70    204   -75.3808  Moravian Church Settlements
    259     3    70    210    -9.4167  Cultural Landscape of Sintra
    259     3    70    238    -3.5833  Ruins of Loropéni
    259     3    70    196     9.9472  St Mary's Cathedral and St Michael's Church at Hildesheim
    259     3    70    210    17.5833  Laponian Area
    259     3    70    200   101.6273  Forest Research Institute Malaysia Forest Park Selangor
    259     2    70    199    -1.4881  Derwent Valley Mills
    259     2    70    204    11.6198  Ferrara, City of the Renaissance, and its Po Delta
    259     2    70    203    14.6028  Costiera Amalfitana
    259     2    70    194    36.3097  Ancient City of Damascus
    259     2    70    196    51.3983  Trans-Iranian Railway
    259     2    70    207   107.5957  Complex of Hué Monuments
    259     2    70    196   141.3058  Jomon Prehistoric Sites in Northern Japan

    288     7    69    196    27.3336  Ephesus
    288     6    69    195   -43.5056  Historic Town of Ouro Preto
    288     6    69    193   102.3319  Phu Phrabat, a testimony to the Sīma stone tradition of the Dvara
    288     6    69    196   108.3333  Hoi An Ancient Town
    288     6    69    193   144.3317  Kuk Early Agricultural Site
    288     5    69    222   -75.8704  San Pedro de la Roca Castle, Santiago de Cuba
    288     5    69    193    -4.1090  Castles and Town Walls of King Edward in Gwynedd
    288     5    69    193    -1.1080  Mudejar Architecture of Aragon
    288     5    69    222    11.1303  Collegiate Church, Castle and Old Town of Quedlinburg
    288     5    69    200    15.2931  Syracuse and the Rocky Necropolis of Pantalica
    288     5    69    201    23.6366  Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios
    288     5    69    201    36.2944  Crac des Chevaliers and Qal’at Salah El-Din
    288     5    69    237    44.4208  Babylon
    288     5    69    193    52.8903  Persepolis
    288     4    69    197   -92.0500  Pre-Hispanic City and National Park of Palenque
    288     4    69    200   -70.6667  Cueva de las Manos, Río Pinturas
    288     4    69    201   -64.6732  Historic Town of St George and Related Fortifications, Bermuda
    288     4    69    197     3.9500  Champagne Hillsides, Houses and Cellars
    288     4    69    200    10.3333  Rock-Art Sites of Tadrart Acacus
    288     4    69    239    11.4189  Schwerin Residence Ensemble
    288     4    69    209    32.5733  Paphos
    288     4    69    202    34.3261  Thimlich Ohinga Archaeological Site
    288     4    69    199    37.5551  Ensemble of the Novodevichy Convent
    288     4    69    192   114.3252  Yin Xu
    288     4    69    226   125.5075  Complex of Koguryo Tombs
    288     4    69    192   138.3253  Sado Island Gold Mines
    288     3    69    200    -3.3681  University and Historic Precinct of Alcalá de Henares
    288     3    69    201    -0.3784  La Lonja de la Seda de Valencia
    288     3    69    195    57.3011  Bahla Fort
    288     2    69    201    -6.3700  Old Town of Cáceres
    288     2    69    207     8.5936  Rjukan-Notodden Industrial Heritage Site
    288     2    69    192    18.9000  Historic Town of Banská Štiavnica and the Technical Monuments in 
    288     2    69    196    23.7262  Acropolis, Athens
    288     2    69    202    52.5253  The Persian Garden
    288     2    69    203    77.6033  Rock Shelters of Bhimbetka
    288     2    69    202   112.5257  Kaiping Diaolou and Villages
    288     1    69    202   -76.4903  Rideau Canal
    288     1    69    228    26.4727  Mir Castle Complex
    288     1    69    199    64.5159  Minaret and Archaeological Remains of Jam

    327     6    68    191   -98.1667  San Antonio Missions
    327     6    68    194     4.8878  Seventeenth-Century Canal Ring Area of Amsterdam inside the Singe
    327     6    68    191     7.8950  Residences of the Royal House of Savoy
