UNESCO A-TIER SITES: GERIZIM vs JERUSALEM ANCHOR COMPARISON
Generated : Fri Apr 17 01:53:57 UTC 2026
Script    : tools/generate_audit_aplus_sites.py
Corpus    : 1011 inscribed Cultural/Mixed UNESCO sites with coordinates
           + 1 synthetic Gerizim entry = 1012 extended corpus
Beru      : 30.0°  |  A+ threshold: <= 0.002 beru (6.7 km)  |  A threshold: <= 0.01 beru (33 km)
Gerizim   : 35.269°E  (Tentative List, ref. 5706 — not yet inscribed)
Jerusalem : 35.2317°E  (inscribed corpus member)  [0.0373° = 4.1 km separation]
Self-exclusion: each anchor removes itself → both test against N=1011.
  Gerizim corpus : N=1011  (inscribed 1011, excl. Gerizim; incl. Jerusalem)
  Jerusalem corpus: N=1011  (inscribed 1011, excl. Jerusalem; incl. Gerizim)

────────────────────────────────────────────────────────────────────────────────────────────────
SUMMARY

  Anchor           N corpus    A++     A+   A (all)    A+ %       A+ p           A %        A p      
  --------------------------------------------------------------------------------------
  Gerizim              1011      7     56       228    5.5%     0.0103     *   22.6%     0.0246     *
  Jerusalem            1011      7     57       218    5.6%     0.0070    **   21.6%     0.1151    ns

  A+ null rate: 4%   A null rate: 20%
  A+ overlap (both anchors): 38 sites
  A+ unique to Gerizim: 18 sites
  A+ unique to Jerusalem: 19 sites

────────────────────────────────────────────────────────────────────────────────────────────────
GERIZIM (35.269°E) — ALL A-TIER SITES  (A++=7, A+=56, A=172, total=228)
  Tier   Dev (beru)      km  Dir  Harmonic      Lon°E  Site
  ----------------------------------------------------------------------------------------
  --- A++ ---
  A        0.005356    17.8    W       0.0    35.1083  Hebron/Al-Khalil Old Town
  A        0.005365    17.9    W       1.3    -3.8919  Ancient Ferrous Metallurgy Sites of Burkina Faso
  A        0.005496    18.3    E       0.0    35.4339  Wadi Rum Protected Area
  A        0.005589    18.6    E       0.4    47.4367  Bisotun
  A        0.005592    18.6    W       0.7    14.4368  Megalithic Temples of Malta
  A        0.005654    18.8    E       0.4    47.4386  The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities
  A        0.005661    18.9    W       0.8    11.0992  Punic Town of Kerkuane and its Necropolis
  A        0.005676    18.9    E       3.1   128.0987  Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks
  A        0.005685    18.9    W       0.9     8.4395  ShUM Sites of Speyer, Worms and Mainz
  A        0.005780    19.2    W       0.9     8.4424  Speyer Cathedral
  A        0.005809    19.3    E       1.7    86.0947  Sun Temple, Konârak
  A        0.005811    19.4    E       0.0    35.4433  Petra
  A        0.005835    19.4    E       0.0    35.4441  Ancient Jericho/Tell es-Sultan
  A        0.005857    19.5    E       2.7   116.4447  Temple of Heaven: an Imperial Sacrificial Altar in Beijing
  A        0.006129    20.4    E       3.1   128.4529  Royal Tombs of the Joseon Dynasty
  A        0.006167    20.5    W       4.7  -105.5460  Taos Pueblo
  A        0.006281    20.9    W       0.4    23.0806  Sanctuary of Asklepios at Epidaurus
  A        0.006400    21.3    W       0.6    17.0770  Centennial Hall in Wrocław
  A        0.006459    21.5    W       4.2   -90.5372  Historic Fortified Town of Campeche
  A        0.006462    21.5    E       0.3    44.4629  Ḥimā Cultural Area
  A        0.006585    21.9    W       3.6   -72.5334  Historic Sanctuary of Machu Picchu
  A        0.006589    21.9    W       0.8    11.4667  Historic Centres of Stralsund and Wismar
  A        0.006589    21.9    W       3.7   -75.5333  Port, Fortresses and Group of Monuments, Cartagena
  A        0.006670    22.2    W       0.0    35.0689  Old City of Acre
  A        0.006671    22.2    W       1.0     5.4691  Flemish Béguinages
  A        0.006744    22.5    E       0.9    62.0667  State Historical and Cultural Park “Ancient Merv”
  A        0.006791    22.6    W       0.3    26.4727  Mir Castle Complex
  A        0.007027    23.4    W       3.1   -57.9418  The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement
  A        0.007144    23.8    W       1.7   -15.5167  Stone Circles of Senegambia
  A        0.007191    23.9    W       1.3    -3.5153  Archaeological Site of Atapuerca
  A        0.007237    24.1    W       0.7    14.4861  Archaeological Areas of Pompei, Herculaneum and Torre Annunziata
  A        0.007297    24.3    W       3.8   -78.5121  City of Quito
  A        0.007422    24.7    E       2.5   110.4917  Prambanan Temple Compounds
  A        0.007578    25.2    W       0.8    11.0417  Historic Centre of San Gimignano
  A        0.007695    25.6    W       1.2    -0.9619  Royal Court of Tiébélé
  A        0.007800    26.0    E       3.6   143.0350  Willandra Lakes Region
  A        0.007828    26.1    W       1.3    -3.9658  The Slate Landscape of Northwest Wales
  A        0.007885    26.3    E       0.5    50.5056  Dilmun Burial Mounds
  A        0.007894    26.3    W       0.7    14.5058  The works of Jože Plečnik in Ljubljana – Human Centred Urban Design
  A        0.007913    26.4    W       1.2    -0.4936  Forts and Castles, Volta, Greater Accra, Central and Western Regions
  A        0.007920    26.4    E       2.4   107.0314  Zuojiang Huashan Rock Art Cultural Landscape
  A        0.007929    26.4    W       0.7    14.5069  Ħal Saflieni Hypogeum
  A        0.007950    26.5    E       3.0   125.5075  Complex of Koguryo Tombs
  A        0.007970    26.5    W       0.8    11.0299  Jewish-Medieval Heritage of Erfurt
  A        0.008035    26.8    W       1.1     2.0279  Works of Antoni Gaudí
  A        0.008181    27.2    W       0.7    14.5144  City of Valletta
  A        0.008181    27.2    W       4.8  -108.4856  Mesa Verde National Park
  A        0.008189    27.3    W       0.7    14.0233  Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale
  A        0.008257    27.5    W       3.0   -54.9787  Jodensavanne Archaeological Site: Jodensavanne Settlement and Cassipora Creek Cemetery
  A        0.008268    27.5    W       0.5    20.0209  Butrint
  A        0.008311    27.7    E       0.5    50.5183  Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun
  A        0.008517    28.4    W       1.4    -6.4755  Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne
  A        0.008661    28.8    W       0.0    35.0092  Incense Route - Desert Cities in the Negev
  A        0.008661    28.8    E       0.3    44.0092  Erbil Citadel
  A        0.008733    29.1    W       1.3    -3.4690  Renaissance Monumental Ensembles of Úbeda and Baeza
  A        0.008756    29.2    W       0.5    20.5317  Studenica Monastery
  A        0.008913    29.7    E       2.6   113.5364  Historic Centre of Macao
  A        0.008941    29.8    E       2.3   104.5372  Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar
  A        0.008967    29.9    E       3.2   131.0000  Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park
  A        0.009052    30.1    W       0.2    29.5406  Maloti-Drakensberg Park
  A        0.009061    30.2    E       0.0    35.5408  Ngorongoro Conservation Area
  A        0.009113    30.3    W       3.8   -79.0044  Historic Centre of Santa Ana de los Ríos de Cuenca
  A        0.009121    30.4    W       0.6    17.5426  Birka and Hovgården
  A        0.009158    30.5    W       1.0     5.5438  Eisinga Planetarium in Franeker
  A        0.009170    30.5    W       0.8    10.9939  City of Verona
  A        0.009189    30.6    W       0.6    16.9933  Decorated Farmhouses of Hälsingland
  A        0.009226    30.7    W       1.1     1.9922  Royal Palaces of Abomey
  A        0.009254    30.8    W       0.9     7.9914  Historic Centre of Agadez
  A        0.009367    31.2    W       0.8    11.5500  Val d'Orcia
  A        0.009367    31.2    W       0.3    26.5500  The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos
  A        0.009367    31.2    W       0.7    14.5500  Historic Centre of Prague
  A        0.009370    31.2    W       0.3    25.9879  Rock-Hewn Churches of Ivanovo
  A        0.009378    31.2    W       0.8    11.5503  Luther Memorials in Eisleben and Wittenberg
  A        0.009391    31.3    W       0.0    34.9873  Bahá’i Holy Places in Haifa and the Western Galilee
  A        0.009413    31.3    W       0.1    32.5514  Tombs of Buganda Kings at Kasubi
  A        0.009430    31.4    W       0.1    31.9861  Gordion
  A        0.009459    31.5    E       0.0    35.5528  Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas)
  A        0.009472    31.5    W       1.1     2.5532  Tipasa
  A        0.009522    31.7    W       0.2    28.9833  Historic Areas of Istanbul
  A        0.009522    31.7    E       1.8    88.9833  Ruins of the Buddhist Vihara at Paharpur
  A        0.009681    32.2    W       0.3    26.5594  Selimiye Mosque and its Social Complex
  A        0.009781    32.6    W       1.3    -4.0244  Historic City of Toledo
  A        0.009793    32.6    E       0.4    47.5628  Royal Hill of Ambohimanga
  A        0.009833    32.7    E       2.3   103.9740  Angkor
  A        0.009889    32.9    E       2.2   100.9723  Archaeological Heritage of the Lenggong Valley
  A        0.009922    33.0    E       0.1    38.5667  Ensemble of the Ferapontov Monastery
  A        0.009926    33.1    W       2.9   -51.4332  Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea
  A        0.009956    33.2    W       0.4    22.9703  Paleochristian and Byzantine Monuments of Thessalonika
  A        0.009986    33.3    W       0.9     8.5686  Abbey and Altenmünster of Lorsch

────────────────────────────────────────────────────────────────────────────────────────────────
JERUSALEM (35.2317°E) — ALL A-TIER SITES  (A++=7, A+=57, A=161, total=218)
  Tier   Dev (beru)      km  Dir  Harmonic      Lon°E  Site
  ----------------------------------------------------------------------------------------
  --- A++ ---
  A++      0.000006     0.0    W       4.4   -96.7681  Historic Centre of Oaxaca and Archaeological Site of Monte Albán
  A++      0.000038     0.1    E       3.7   146.2306  Tasmanian Wilderness
  A++      0.000053     0.2    E       2.5   110.2301  Borobudur Temple Compounds
  A++      0.000110     0.4    E       0.4    47.2350  Takht-e Soleyman
  A++      0.000123     0.4    E       2.9   122.2354  Baroque Churches of the Philippines
  A++      0.000175     0.6    W       0.6    17.2369  The <I>Trulli</I> of Alberobello
  A++      0.000196     0.7    E       2.2   101.2258  Deer Stone Monuments and Related Bronze Age Sites

  --- A+ ---
  A+       0.000223     0.7    E       2.1    98.2250  The Great Wall
  A+       0.000240     0.8    W       0.2    29.2389  Mapungubwe Cultural Landscape
  A+       0.000243     0.8    W       0.3    26.2390  Archaeological Site of Troy
  A+       0.000245     0.8    W       0.0    35.2244  Kizhi Pogost
  A+       0.000261     0.9    W       1.4    -6.7761  Las Médulas
  A+       0.000304     1.0    E       1.4    77.2408  Red Fort Complex
  A+       0.000347     1.2    W       0.6    17.2421  Via Appia. <em>Regina Viarum</em>
  A+       0.000492     1.6    W       1.3    -3.7831  New Lanark
  A+       0.000501     1.7    W       0.5    20.2167  Wooden Churches of Southern Małopolska
  A+       0.000501     1.7    W       0.4    23.2167  Dacian Fortresses of the Orastie Mountains
  A+       0.000512     1.7    E       1.5    80.2163  Old Town of Galle and its Fortifications
  A+       0.000536     1.8    W       0.8    11.2478  Medici Villas and Gardens in Tuscany
  A+       0.000601     2.0    W       0.7    14.2497  Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo
  A+       0.000612     2.0    W       1.5    -9.7867  Medina of Essaouira (formerly Mogador)
  A+       0.000625     2.1    W       0.6    17.2505  Holy Trinity Column in Olomouc
  A+       0.000629     2.1    E       1.4    77.2506  Humayun's Tomb, Delhi
  A+       0.000703     2.3    W       0.4    23.2528  Old City of Zamość
  A+       0.000787     2.6    E       0.9    62.2081  Silk Roads: Zarafshan-Karakum Corridor
  A+       0.000788     2.6    E       0.3    44.2081  Old City of Sana'a
  A+       0.000807     2.7    W       0.0    35.2075  Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem
  A+       0.000814     2.7    W       0.8    11.2561  Historic Centre of Florence
  A+       0.000859     2.9    W       3.5   -69.7941  Humberstone and Santa Laura Saltpeter Works
