wikidata_id,lat,lon,region,beru_dev,tier
Q571417,34.93287,36.376655,Arab States,0.036755166666666624,B
Q609197,34.931278,36.245278,Arab States,0.032375933333333266,B
Q617550,35.416666666,36.4,Europe,0.03753333333333326,B
Q1407210,34.950006,36.41589,Arab States,0.03806299999999988,B
Q1438447,35.585,35.746,Europe,0.015733333333333377,B
Q3273822,35.601719,35.783008,Europe,0.016966933333333382,B
Q3314947,35.607,35.776,Europe,0.016733333333333416,B
Q6401026,34.97277778,36.00222222,Arab States,0.024274073999999975,B
Q7362208,35.418,36.398,Europe,0.037466666666666745,B
Q25385869,35.63665,34.53552,Europe,0.02461600000000009,B
Q100272845,35.601944,35.785556,Europe,0.017051866666666627,B
Q481670,36.341388888,36.316111111,Europe,0.03473703703333323,B
Q575249,36.237777777,36.384722222,Europe,0.037024074066666655,B
Q690035,34.5576,36.52,Arab States,0.04153333333333341,B
Q799921,36.426944444,36.225,Europe,0.03170000000000002,B
Q907974,36.2475,36.376388888,Europe,0.03674629626666667,B
Q1590903,36.12075278,35.92265278,Europe,0.021621759333333303,B
Q1605894,36.124,35.922,Europe,0.021599999999999873,B
Q1776331,36.09166667,36.03555556,Europe,0.025385185333333265,B
Q3677505,36.226691,36.171743,Europe,0.029924766666666613,B
Q11036281,36.330278,36.445,Europe,0.039033333333333316,B
Q16900511,36.0904,35.9669,Europe,0.02309666666666672,B
Q21581683,34.442777777,36.510833333,Arab States,0.04122777776666666,B
Q21581716,34.401944444,36.556666666,Arab States,0.04275555553333324,B
Q21581717,34.386111111,36.539166666,Arab States,0.04217222219999996,B
Q32200790,36.503055555,36.390833333,Europe,0.03722777776666675,B
Q66204356,36.0342,36.4406,Europe,0.03888666666666675,B
Q103141762,36.2,36.15,Europe,0.029199999999999924,B
Q103141835,36.2,36.17,Europe,0.029866666666666694,B
Q137170029,36.413,35.883,Europe,0.020300000000000058,B
Q630734,34.835,36.865833333,Arab States,0.046938888900000114,B
Q27883303,34.916666666,36.733333333,Arab States,0.04864444443333322,B
Q63456908,34.729888888,36.697888888,Arab States,0.047462962933333346,B
Q82074068,35.134167,36.745277,Europe,0.04904256666666669,B
Q103163269,35.15,36.73,Europe,0.0485333333333332,B
Q109716729,34.90319,36.6082,Arab States,0.044473333333333184,B
Q113540761,34.8357,36.8632,Arab States,0.04702666666666673,B
Q771907,36.207643,36.519208,Europe,0.04150693333333327,B
Q797418,36.215,36.6975,Europe,0.0474499999999999,B
Q797718,36.19930556,36.69291667,Europe,0.04729722233333338,B
Q808207,36.16611111,36.63611111,Europe,0.04540370366666669,B
Q827122,36.18027778,36.57555556,Europe,0.043385185333333236,B
Q850135,36.20222222,36.56027778,Europe,0.04287592599999997,B
Q979091,35.99861111,36.99805556,Europe,0.042531481333333454,B
Q984315,36.1690795,36.5808694,Europe,0.04356231333333322,B
Q1159202,35.70935556,36.68511111,Europe,0.04703703700000001,B
Q1159200,36.21666667,36.76666667,Europe,0.04975555566666661,B
Q1165586,36.215,36.66638889,Europe,0.04641296299999998,B
Q1182943,36.17522222,36.62472222,Europe,0.04502407400000005,B
Q1183362,36.09905556,36.6445,Europe,0.045683333333333326,B
Q1183365,36.233333333,36.816666666,Europe,0.04857777779999993,B
Q1656860,36.20583333,36.65944444,Europe,0.04618148133333335,B
Q1881304,36.17388889,36.58527778,Europe,0.04370925933333325,B
Q2177952,35.73944444,36.69527778,Europe,0.047375925999999895,B
Q4751791,35.783333333,37.483333333,Europe,0.026355555566666786,B
Q6838482,36.174999,36.585533,Europe,0.043717766666666574,B
Q7424272,36.183333333,36.716666666,Europe,0.0480888888666667,B
Q7697374,35.905,36.79861111,Europe,0.0491796296666666,B
Q12180802,35.533306,37.366341,Europe,0.030255300000000082,B
Q21711238,35.723889,36.713333,Europe,0.047977766666666595,B
Q27926200,35.75,36.716666666,Europe,0.0480888888666667,B
Q28003753,35.75,36.716667,Europe,0.048088900000000004,B
Q66204350,36.2106,36.6597,Europe,0.046189999999999995,B
Q97358003,36.1525,36.579166666,Europe,0.04350555553333327,B
Q106762532,36.201485,36.638378,Europe,0.04547926666666673,B
Q108713626,36.184723,36.607498,Europe,0.04444993333333329,B
Q108713625,36.182,36.616,Europe,0.04473333333333329,B
Q109606158,36.099264,36.626787,Europe,0.04509289999999998,B
Q109716675,36.19648,36.64407,Europe,0.045668999999999946,B
Q109716677,36.186062,36.688614,Europe,0.04715380000000001,B
Q109716690,36.185833,36.689716,Europe,0.04719053333333321,B
Q109716689,36.142254,36.571499,Europe,0.04324996666666673,B
Q109716694,36.200359,36.60445,Europe,0.0443483333333333,B
Q109716693,36.116112,36.607498,Europe,0.04444993333333329,B
Q109716697,36.069256,36.613052,Europe,0.044635066666666744,B
Q109892967,36.213673,36.638126,Europe,0.04547086666666663,B
Q109893536,35.95,36.6333,Europe,0.04530999999999992,B
Q109894020,36.204285,36.597363,Europe,0.044112100000000015,B
Q109716696,36.241357,36.718297,Europe,0.04814323333333329,B
Q373876,36.34339,36.90177,Europe,0.045741000000000066,B
Q393841,36.33416667,36.84416667,Europe,0.04766111100000004,B
Q810671,36.33333333,36.86666667,Europe,0.04691111100000001,B
Q896731,36.38333333,36.9,Europe,0.045800000000000084,B
Q1183360,36.33333333,36.83333333,Europe,0.0480222223333333,B
