# owtrad_routes.csv — OWTRAD Silk Road route network (edge list)
# DO NOT HAND-EDIT. Regenerate: python3 data/scripts/fetch_owtrad_silk_road.py
# Generated: 2026-04-27T04:51:52Z
# Source: Ciolek, T.M. (2004+). OWTRAD Project. www.ciolek.com/owtrad.html
# Datasets attempted: tmcXMEm1400, tmcTRm1200a, tmcTRm1200b, tmcTRm1300, tmcIRa0100, tmcIRa0500, tmcZCAm0200, tmcZCAm0600, tmcZCAm0800, tmcZCAm1000, tmcZCAm1000a, tmcTMm1100, tmcTJm0400a, tmcTJm0400b, tmcKGa0100a, tmcKGa0100b, tmcKGa0100c, tmcKGa0100e, tmcZMEm1300, tmcINm1550, tmcCNm1000, tmcCNm0620, tmcCNm0680a, tmcCNm0680b, tmcCNm0680c, tmcCNm1500, tmcCNm1700, tmcCNm1850, tmcCNm1920, tmcKHm1200, tmcKGa0100d
# Licence: Open Publication License v1.0
# N = 1946 edges
dataset,lon1,lat1,lon2,lat2,node1,node2,country1,country2
tmcTRm1200a,36.554400,40.313900,37.033333,39.750000,Tokat,Sivas,TR,TR
tmcTRm1200a,32.020300,40.760600,32.650600,40.469700,frk01-tmc050521,loc24-tmc050521,TR,TR
tmcTRm1200a,32.650600,40.469700,32.866669,39.933334,loc24-tmc050521,Ankara,TR,TR
tmcTRm1200a,32.866669,39.933334,33.100000,39.233300,Ankara,frk04-tmc050521,TR,TR
tmcTRm1200a,33.100000,39.233300,32.516666,37.866669,frk04-tmc050521,Konya,TR,TR
tmcTRm1200a,33.100000,39.233300,33.541900,38.944400,frk04-tmc050521,loc25-tmc050521,TR,TR
tmcTRm1200a,33.541900,38.944400,34.050000,38.383300,loc25-tmc050521,Aksaray,TR,TR
tmcTRm1200a,34.050000,38.383300,32.516666,37.866669,Aksaray,Konya,TR,TR
tmcTRm1200a,32.516666,37.866669,31.416400,38.357500,Konya,Aksehir,TR,TR
tmcTRm1200a,32.516666,37.866669,31.926400,37.904700,Konya,frk05-tmc050521,TR,TR
tmcTRm1200a,31.926400,37.904700,31.726100,37.676400,frk05-tmc050521,loc26-tmc050521,TR,TR
tmcTRm1200a,31.726100,37.676400,31.586400,37.581700,loc26-tmc050521,loc27-tmc050521,TR,TR
tmcTRm1200a,31.586400,37.581700,31.443100,36.786700,loc27-tmc050521,loc28-tmc050521,TR,TR
tmcTRm1200a,31.443100,36.786700,30.700000,36.883300,loc28-tmc050521,Antalya,TR,TR
tmcTRm1200a,30.700000,36.883300,30.290800,37.720300,Antalya,Burdur,TR,TR
tmcTRm1200a,30.290800,37.720300,30.418600,37.901100,Burdur,frk06-tmc050521,TR,TR
tmcTRm1200a,30.418600,37.901100,30.552200,37.764400,frk06-tmc050521,Isparta,TR,TR
tmcTRm1200a,30.552200,37.764400,30.849200,37.869400,Isparta,loc29-tmc050521,TR,TR
tmcTRm1200a,30.849200,37.869400,31.015300,38.120800,loc29-tmc050521,loc30-tmc050521,TR,TR
tmcTRm1200a,31.015300,38.120800,31.213600,38.184400,loc30-tmc050521,loc31-tmc050521,TR,TR
tmcTRm1200a,31.213600,38.184400,31.366400,38.079400,loc31-tmc050521,loc32-tmc050521,TR,TR
tmcTRm1200a,31.366400,38.079400,31.466700,37.983300,loc32-tmc050521,loc33-tmc050521,TR,TR
tmcTRm1200a,31.466700,37.983300,31.595800,37.951900,loc33-tmc050521,loc34-tmc050521,TR,TR
tmcTRm1200a,31.595800,37.951900,31.926400,37.904700,loc34-tmc050521,frk05-tmc050521,TR,TR
tmcTRm1200a,30.418600,37.901100,30.169400,38.065300,frk06-tmc050521,loc35-tmc050521,TR,TR
tmcTRm1200a,30.169400,38.065300,29.738600,38.301400,loc35-tmc050521,Civril,TR,TR
tmcTRm1200a,29.738600,38.301400,29.326100,37.807200,Civril,frk07-tmc050521,TR,TR
tmcTRm1200a,30.169400,38.065300,29.326100,37.807200,loc35-tmc050521,frk07-tmc050521,TR,TR
tmcTRm1200a,29.326100,37.807200,29.087500,37.774200,frk07-tmc050521,Denizli,TR,TR
tmcTRm1200a,29.087500,37.774200,28.520300,38.350800,Denizli,loc36-tmc050521,TR,TR
tmcTRm1200a,28.520300,38.350800,27.705800,38.500800,loc36-tmc050521,loc37-tmc050521,TR,TR
tmcTRm1200a,27.705800,38.500800,27.426100,38.613100,loc37-tmc050521,Manisa,TR,TR
tmcTRm1200a,27.426100,38.613100,27.150000,38.416668,Manisa,Izmir,TR,TR
tmcTRm1200a,27.150000,38.416668,26.974200,38.799400,Izmir,loc38-tmc050521,TR,TR
tmcTRm1200a,26.974200,38.799400,27.167000,39.133000,loc38-tmc050521,loc39-tmc050521,TR,TR
tmcTRm1200a,27.167000,39.133000,27.024400,39.596100,loc39-tmc050521,loc40-tmc050521,TR,TR
tmcTRm1200a,27.024400,39.596100,26.404700,39.601100,loc40-tmc050521,loc41-tmc050521,TR,TR
tmcTRm1200a,26.404700,39.601100,26.332500,39.790000,loc41-tmc050521,loc42-tmc050521,TR,TR
tmcTRm1200a,26.332500,39.790000,26.400000,40.150002,loc42-tmc050521,Canakkale,TR,TR
tmcTRm1200a,27.150000,38.416668,27.374700,37.951700,Izmir,loc43-tmc050521,TR,TR
tmcTRm1200a,27.374700,37.951700,27.410300,37.750800,loc43-tmc050521,loc44-tmc050521,TR,TR
tmcTRm1200a,27.410300,37.750800,27.300000,37.500000,loc44-tmc050521,loc45-tmc050521,TR,TR
tmcTRm1200a,27.300000,37.500000,27.783900,37.316400,loc45-tmc050521,loc46-tmc050521,TR,TR
tmcTRm1200a,27.783900,37.316400,28.363900,37.216400,loc46-tmc050521,Mugla,TR,TR
tmcTRm1200a,28.363900,37.216400,29.116400,36.621700,Mugla,loc47-tmc050521,TR,TR
tmcTRm1200a,29.116400,36.621700,29.639200,36.200600,loc47-tmc050521,loc48-tmc050521,TR,TR
tmcTRm1200a,29.639200,36.200600,30.286900,36.370300,loc48-tmc050521,loc49-tmc050521,TR,TR
tmcTRm1200a,30.286900,36.370300,30.700000,36.883300,loc49-tmc050521,Antalya,TR,TR
tmcTRm1200a,32.516666,37.866669,33.215000,37.181100,Konya,Karaman,TR,TR
tmcTRm1200a,33.215000,37.181100,33.437500,36.646400,Karaman,loc50-tmc050521,TR,TR
tmcTRm1200a,33.437500,36.646400,33.934400,36.377800,loc50-tmc050521,Silifke,TR,TR
tmcTRm1200a,34.050000,38.383300,34.712200,38.625000,Aksaray,Nevsehir,TR,TR
tmcTRm1200a,34.712200,38.625000,35.500000,38.716667,Nevsehir,Kayseri,TR,TR
tmcTRm1200a,34.712200,38.625000,34.682500,37.969200,Nevsehir,Nigde,TR,TR
tmcTRm1200a,34.682500,37.969200,35.500000,38.716667,Nigde,Kayseri,TR,TR
tmcTRm1200a,34.682500,37.969200,34.500000,37.550000,Nigde,loc51-tmc050521,TR,TR
tmcTRm1200a,34.500000,37.550000,34.871700,37.427800,loc51-tmc050521,loc52-tmc050521,TR,TR
tmcTRm1200a,34.871700,37.427800,34.833332,37.283333,loc52-tmc050521,loc53-tmc050521,TR,TR
tmcTRm1200a,34.833332,37.283333,35.050000,36.983300,loc53-tmc050521,loc54-tmc050521,TR,TR
tmcTRm1200a,35.050000,36.983300,35.328900,37.016700,loc54-tmc050521,Adana,TR,TR
tmcTRm1200a,35.328900,37.016700,35.600000,36.950000,Adana,frk08-tmc050521,TR,TR
tmcTRm1200a,35.600000,36.950000,35.750000,36.816666,frk08-tmc050521,loc55-tmc050521,TR,TR
tmcTRm1200a,35.600000,36.950000,35.817500,37.024700,frk08-tmc050521,frk09-tmc050521,TR,TR
tmcTRm1200a,35.817500,37.024700,36.202200,36.953900,frk09-tmc050521,loc56-tmc050521,TR,TR
tmcTRm1200a,36.202200,36.953900,36.200600,36.748900,loc56-tmc050521,loc57-tmc050521,TR,TR
tmcTRm1200a,36.200600,36.748900,36.165000,36.581700,loc57-tmc050521,loc58-tmc050521,TR,TR
tmcTRm1200a,36.165000,36.581700,36.116669,36.233334,loc58-tmc050521,Hatay,TR,TR
tmcTRm1200a,36.116669,36.233334,37.166668,36.200001,Hatay,loc59-tmc050521,TR,SY
tmcTRm1200a,35.817500,37.024700,36.716700,37.183300,frk09-tmc050521,frk10-tmc050521,TR,TR
tmcTRm1200a,36.716700,37.183300,37.382500,37.059400,frk10-tmc050521,Gaziantep,TR,TR
tmcTRm1200a,37.382500,37.059400,37.115000,36.716100,Gaziantep,loc60-tmc050521,TR,TR
tmcTRm1200a,37.115000,36.716100,37.166668,36.200001,loc60-tmc050521,loc59-tmc050521,TR,SY
tmcTRm1200a,37.382500,37.059400,37.966667,37.033333,Gaziantep,loc61-tmc050521,TR,TR
tmcTRm1200a,37.966667,37.033333,38.766666,37.133331,loc61-tmc050521,Sanliurfa,TR,TR
tmcTRm1200a,36.716700,37.183300,36.931700,37.587500,frk10-tmc050521,Kahramanmaras,TR,TR
tmcTRm1200a,36.931700,37.587500,36.493900,38.020800,Kahramanmaras,loc62-tmc050521,TR,TR
tmcTRm1200a,36.493900,38.020800,36.391100,38.721700,loc62-tmc050521,loc63-tmc050521,TR,TR
tmcTRm1200a,36.391100,38.721700,35.500000,38.716667,loc63-tmc050521,Kayseri,TR,TR
tmcTRm1200a,35.500000,38.716667,36.407500,39.354400,Kayseri,loc96-tmc050521,TR,TR
tmcTRm1200a,36.407500,39.354400,37.033333,39.750000,loc96-tmc050521,Sivas,TR,TR
tmcTRm1200a,37.033333,39.750000,37.758300,39.897800,Sivas,frk11-tmc050521,TR,TR
tmcTRm1200a,37.758300,39.897800,38.750000,40.000000,frk11-tmc050521,loc64-tmc050521,TR,TR
tmcTRm1200a,38.750000,40.000000,39.492800,39.752200,loc64-tmc050521,Erzincan,TR,TR
tmcTRm1200a,39.492800,39.752200,38.103300,39.366900,Erzincan,xrd01-tmc050521,TR,TR
tmcTRm1200a,38.103300,39.366900,37.758300,39.897800,xrd01-tmc050521,frk11-tmc050521,TR,TR
tmcTRm1200a,38.103300,39.366900,39.220600,38.675300,xrd01-tmc050521,Elazig,TR,TR
tmcTRm1200a,38.103300,39.366900,37.387500,39.238100,xrd01-tmc050521,loc65-tmc050521,TR,TR
tmcTRm1200a,37.387500,39.238100,37.040300,39.443900,loc65-tmc050521,loc66-tmc050521,TR,TR
tmcTRm1200a,37.040300,39.443900,37.033333,39.750000,loc66-tmc050521,Sivas,TR,TR
tmcTRm1200a,39.220600,38.675300,38.383300,38.433300,Elazig,Malatya,TR,TR
tmcTRm1200a,38.383300,38.433300,37.636700,37.783600,Malatya,frk12-tmc050521,TR,TR
tmcTRm1200a,37.636700,37.783600,37.316700,37.516700,frk12-tmc050521,loc67-tmc050521,TR,TR
tmcTRm1200a,37.316700,37.516700,36.931700,37.587500,loc67-tmc050521,Kahramanmaras,TR,TR
tmcTRm1200a,37.636700,37.783600,38.278300,37.759200,frk12-tmc050521,Adiyaman,TR,TR
tmcTRm1200a,38.278300,37.759200,39.316700,37.750000,Adiyaman,frk13-tmc050521,TR,TR
tmcTRm1200a,39.316700,37.750000,40.210600,37.918900,frk13-tmc050521,Diyarbakir,TR,TR
tmcTRm1200a,40.210600,37.918900,40.742800,37.311100,Diyarbakir,Mardin,TR,TR
tmcTRm1200a,40.742800,37.311100,41.183000,37.083000,Mardin,loc69-tmc050521,TR,TR
tmcTRm1200a,39.316700,37.750000,38.766666,37.133331,frk13-tmc050521,Sanliurfa,TR,TR
tmcTRm1200a,38.766666,37.133331,39.016700,35.950000,Sanliurfa,loc68-tmc050521,TR,SY
tmcTRm1200a,40.742800,37.311100,41.340000,37.423900,Mardin,loc70-tmc050521,TR,TR
tmcTRm1200a,41.340000,37.423900,41.120600,37.882800,loc70-tmc050521,Batman,TR,TR
tmcTRm1200a,41.120600,37.882800,41.234200,38.120800,Batman,loc71-tmc050521,TR,TR
tmcTRm1200a,41.234200,38.120800,41.780300,38.165300,loc71-tmc050521,loc72-tmc050521,TR,TR
tmcTRm1200a,42.109700,38.400800,42.208696,38.483108,Bitlis,frk14-tmc050521,TR,TR
tmcTRm1200a,42.208696,38.483108,42.281700,38.506700,frk14-tmc050521,frk15-tmc050521,TR,TR
tmcTRm1200a,42.281700,38.506700,43.102800,38.295600,frk15-tmc050521,loc73-tmc050521,TR,TR
tmcTRm1200a,43.102800,38.295600,43.380000,38.494200,loc73-tmc050521,Van,TR,TR
tmcTRm1200a,42.208696,38.483108,41.496900,38.748600,frk14-tmc050521,Mus,TR,TR
tmcTRm1200a,41.496900,38.748600,40.496400,38.884700,Mus,Bingol,TR,TR
tmcTRm1200a,40.496400,38.884700,39.220600,38.675300,Bingol,Elazig,TR,TR
tmcTRm1200a,42.281700,38.506700,42.493900,38.755300,frk15-tmc050521,loc74-tmc050521,TR,TR
tmcTRm1200a,42.493900,38.755300,43.361700,39.023900,loc74-tmc050521,frk16-tmc050521,TR,TR
tmcTRm1200a,43.361700,39.023900,43.733300,38.883300,frk16-tmc050521,loc75-tmc050521,TR,TR
tmcTRm1200a,43.733300,38.883300,43.343100,38.768300,loc75-tmc050521,loc76-tmc050521,TR,TR
tmcTRm1200a,43.343100,38.768300,43.380000,38.494200,loc76-tmc050521,Van,TR,TR
tmcTRm1200a,43.380000,38.494200,43.652800,38.653600,Van,loc77-tmc050521,TR,TR
tmcTRm1200a,43.652800,38.653600,43.991400,38.656400,loc77-tmc050521,loc78-tmc050521,TR,TR
tmcTRm1200a,43.991400,38.656400,44.293600,38.492500,loc78-tmc050521,loc79-tmc050521,TR,TR
tmcTRm1200a,44.293600,38.492500,46.291943,38.080002,loc79-tmc050521,Tebriz,TR,IR
